Anchors,Random_mean,Random_std,Optimized_mean,Optimized_std,KMeans_mean,KMeans_std
50,57.84483357518887,3.512220238607663,57.827062058669654,4.151259608877011,76.03710517505807,1.1746163874545181
100,64.86115453477628,2.7638259497973423,77.08114574892225,1.1065710060901088,85.51715324249814,0.2543624883211809
150,69.16939115206644,1.348721461019425,81.9298978684241,0.8734303972595542,86.38414325819363,0.23529018742887015
200,71.1713348533313,1.3358581271298569,83.26825133769314,0.3531044308476973,86.84013956541445,0.13645213629029676
250,72.91632278538088,1.5752546438807513,84.16034630081332,0.3274128918224218,86.89776235470346,0.25345610075541475
300,74.44649816100191,1.1797451455821495,83.99368762567399,0.31696187553010724,86.96741472815822,0.17611760490013234
350,75.06347997347113,1.2809201979005074,83.67349717489729,0.52166688531252,86.8261517740781,0.21313336366794683
400,76.29009484062313,1.2699445553081103,84.05563185054132,1.5016664480704387,86.80071066153202,0.21821352871741123
450,76.73896260591819,0.9126138961723925,84.87335812797986,0.5070168801354902,86.76284529318482,0.1899143330040801
500,76.19205542199605,0.8457248770022905,84.67024619361987,0.9385483545524929,86.82263271153907,0.17645207886840208
550,76.68577003161475,1.4647576515710328,84.95341258559071,0.516692682446605,86.76318163801487,0.193012343148314
600,77.05514693718803,0.8169545251192113,85.24194583182404,0.31039881236676453,86.48642877052467,0.15660488152752708
