Anchors,Target,Mean_F1,Std_F1
768,vit_base_patch16_224,89.86406661535487,0.18859303996479232
768,rexnet_100,77.65211446882387,0.2116533666799024
768,vit_base_resnet50_384,88.64490531650964,0.253555989024181
768,vit_small_patch16_224,89.44686570090005,0.18210104092470464
