n_closest,Mean_F1,Std_F1
1,60.79559945199229,0.7563650934372417
5,77.25094648193596,0.2977066389098979
10,81.05316533338323,0.29738374918975713
15,82.57875380594267,0.1157406200455701
20,83.98460256406163,0.2647039607457362
25,84.78568648563986,0.19729659828486001
30,85.2494311259348,0.2547521409358062
35,85.58989147405683,0.15760289537827835
40,85.93227667039324,0.18318678802920482
45,86.14143314742552,0.16605164741353712
50,86.39858501155621,0.19665121495535995
55,86.51398016118236,0.19878966672105133
60,86.59610364683608,0.1471401929112315
65,86.78966559124864,0.11719919278648128
70,86.79373997893998,0.13611766041771947
75,86.91148116721531,0.22854131377022296
80,86.84582932533515,0.18796361280455917
85,86.88499615306752,0.12366292655070435
90,86.91643397363276,0.13146195280754328
95,86.89604003273573,0.12713699637972042
100,86.92321161302853,0.1579998266815087
