Anchors,Random_mean,Random_std,Optimized_mean,Optimized_std,KMeans_mean,KMeans_std
50,49.23862690894423,3.6583734349137,60.64947009438628,2.170733370792384,68.26685729459138,0.9783929974101145
100,59.23146709492523,3.1340116708320025,67.51969947445959,1.8595699291606753,74.76136313491224,0.8543192345859043
150,64.18819037805623,1.451981231722969,71.54545012296245,1.3730378940569918,75.87799629835646,0.599399952492728
200,67.26806588324148,1.0860784829682517,72.17391042645731,1.2212554701860605,77.14656468978752,0.5240077842284219
250,69.2775433884439,1.0894230527730566,72.66424654637885,1.218288023620772,77.51856239638508,0.24072158839198032
300,70.28112588300806,1.4653098578880346,73.23833165645033,1.3619049333049944,77.52628398389696,0.6609808769766631
350,71.6707537973361,1.3864961099566329,74.07591825659969,1.209553671214464,77.97432756508297,0.6154597574733014
400,72.45088099597669,0.9361134577125804,73.97871743922462,1.3765290174595146,77.23125915034221,0.7993550908718109
450,72.37452568913396,1.1335817710684843,74.51009313063261,0.9314258266518537,77.66293609021388,0.7994130205925176
500,72.96485353108501,1.0276533459814672,74.70114006112203,1.2911350829047603,77.2313942283888,0.7478477187620104
550,72.45543430680202,1.218445099930543,74.73184507977683,1.431746953509352,77.73539223562624,0.47481842277061087
600,72.66541418250391,1.3945444606928254,75.06143217530584,0.9163290666541579,77.35871117124975,0.7420822513424497
