n_closest,Mean_F1,Std_F1
1,72.87918024028247,0.7128830099420937
5,82.78863730037344,0.393604907876535
10,84.50216850585494,0.34729487204754694
15,84.95307598092634,0.23017322281212016
20,85.26774155459309,0.22211384759972833
25,85.45425926309282,0.16625255185590646
30,85.61109058231959,0.2896963288472085
35,85.76875284472403,0.2636883051601929
40,85.7451893173442,0.3492399651686976
45,85.83790944808604,0.2386357252574224
50,86.13711402903671,0.23981999152913414
55,86.08583335955325,0.2744967009151968
60,86.2473542567387,0.2134849180563082
65,86.15860404534713,0.279979040827797
70,86.25397845414761,0.2444396737859442
75,86.23230959466439,0.2733029458847429
80,86.16416098649897,0.28047274038661074
85,86.36392193655476,0.25099396184100575
90,86.25558220828904,0.20855732440291222
95,86.24217536603157,0.14007973460845732
100,86.21769224538045,0.22786277624203538
