Anchors,Random_mean,Random_std,Optimized_mean,Optimized_std,KMeans_mean,KMeans_std
50,21.097237004687347,1.239716974273169,49.003963712832594,0.9112769616362945,67.06934928841369,1.3401416164809044
100,32.21746212751892,1.344915856658053,65.54851798541316,1.0989054261790445,77.75938914650236,0.9072979827770926
150,38.87425597540014,1.4270454642002575,71.91039283118037,1.779991344966728,80.70183912458626,0.28463411893367824
200,44.23696999574959,0.9754757593553467,76.0336326437447,0.6613888600797231,82.2243399984122,0.32695186329377823
250,47.75920768296952,0.8369920494843609,77.6968169463765,0.5965888809476478,82.79355707004392,0.15272358023421953
300,51.08473730475007,0.6960896813150583,78.51998875739685,0.6032997733268912,83.20110309573646,0.21158588078672289
350,53.76353396733446,0.688962682111154,79.02827092348811,0.8277030985670095,83.60901894109168,0.37358417802973576
400,55.92979695351969,1.4741666019319852,79.43896051299284,0.5750823976350836,83.81664523846436,0.25009755245010284
450,57.84656002611689,1.2065261584936116,79.78335505015754,0.5801806878832075,83.70370940214653,0.2615071723016873
500,59.17053539831271,0.9148861578644405,79.53273581292736,0.6572818623078376,83.90241483856586,0.3232058315028217
550,60.383635554814646,0.8488691900915217,80.08939406256877,0.39876121574507595,84.06032123049064,0.37620217335893913
600,61.55041173866106,0.8276494857549828,79.71465129176943,0.3588624938960477,84.31722015334576,0.26199208227358906
