Anchors,Random_mean,Random_std,Optimized_mean,Optimized_std,KMeans_mean,KMeans_std
50,48.724487989317105,4.422066249852808,12.22526309385307,3.1573982922009978,67.70991328097848,1.230146731081985
100,57.95144528959425,3.665580680604138,18.052513086138855,3.158726378115362,74.33525394928412,1.062934194054256
150,64.01184419198282,1.495352516679649,22.391246819353224,3.314241918549252,74.91269958877088,0.49860941195768704
200,66.69846122366822,1.1283760767549316,26.475665952736502,3.0108624275401246,76.00833231901018,0.48616274293341555
250,69.09039784733237,0.667554832462003,30.511883858193347,4.055514434629167,75.9878255692482,0.4899537405235263
300,70.24791880571868,0.8321231038512455,36.42088534038295,4.290262005714193,76.34932255017704,0.42708699364334585
350,70.80335948672447,0.5512061194106691,38.615350386406874,4.669224477119101,76.32150431532098,0.8615392489291055
400,71.55345404542108,1.0049163043050164,41.40351790913022,4.217014284498089,75.66492393191918,0.6318499711195573
450,71.3852078833573,1.1744983801438285,42.59735802628898,2.6900170465674265,75.45284493428944,0.9757934372298651
500,72.29848962804341,1.166172640392216,48.18957685779747,4.085576764175942,75.6321412341556,0.8417957392591267
550,72.04420145742985,1.3504491798922005,51.41987535140055,4.186340226148241,75.88525720403234,0.734327953997406
600,72.45104143693342,0.7339021885960264,54.66458748700902,2.9980334900278724,75.32514351818203,0.7777615305177331
